label,blma,blsr1,blsr2,Genus,species,subspecies,count,colorID,colorID_bats,taxon,taxon2,taxon3,lab
HLrhiFer5,24.33,0.0250882,0.012826,Rhinolophus,ferrumequinum,,44,#EE7733,#EE7733,bat,bat,lg,
HLrhiAff2,8.37,0.020319,0.010054,Rhinolophus,affinis,,31,#EE7733,#EE7733,bat,bat,lg,
HLrhiSin1,8.37,0.0165087,0.008191,Rhinolophus,sinicus,,32,#EE7733,#EE7733,bat,bat,lg,
HLrhiSed2,10.75,0.0187139,0.010125,Rhinolophus,sedulus,,25,#EE7733,#EE7733,bat,bat,lg,
HLrhiTri2,4.32,0.00959771,0.005191,Rhinolophus,trifoliatus,,27,#EE7733,#EE7733,bat,bat,lg,
HLrhiLuc4,4.32,0.00699795,0.003758,Rhinolophus,luctus,,19,#EE7733,#EE7733,bat,bat,lg,
HLhipCyc2,12.1,0.0791249,0.040641,Doryrhina,cyclops,,28,#EE7733,#EE7733,bat,bat,lg,
HLaseSto2,9.09,0.0669089,0.034656,Aselliscus,stoliczkanus,,45,#EE7733,#EE7733,bat,bat,lg,
HLhipLar2,9.09,0.0481682,0.025383,Hipposideros,larvatus,,39,#EE7733,#EE7733,bat,bat,lg,
HLrhiMic1,15.8,0.0642962,0.034851,Rhinopoma,microphyllum,,29,#EE7733,#EE7733,bat,bat,lg,
HLmegSpa1,15.8,0.128055,0.069688,Megaderma,spasma,,28,#EE7733,#EE7733,bat,bat,lg,
HLrouAeg4,57.33,0.132546,0.072255,Rousettus,aegyptiacus,,39,#EE7733,#EE7733,bat,bat,lg,
HLphyDis3,5.97,0.0713926,0.034946,Phyllostomus,discolor,,32,#EE7733,#EE7733,bat,bat,lg,
HLstuHon1,5.97,0.0722913,0.03586,Sturnira,hondurensis,,25,#EE7733,#EE7733,bat,bat,lg,
HLdesRot8A,12.1,0.0576209,0.029187,Desmodus,rotundus,,30,#EE7733,#EE7733,bat,bat,lg,
HLpteMes1,28.1,0.0773436,0.04252,Pteronotus,parnellii,mesoamericanus,36,#EE7733,#EE7733,bat,bat,lg,
HLmolMol2,8.55,0.0493676,0.026629,Molossus,molossus,,39,#EE7733,#EE7733,bat,bat,lg,
HLmopCon1,8.55,0.053307,0.028418,Mops,condylurus,,46,#EE7733,#EE7733,bat,bat,lg,
HLpipKuh2,8.43,0.101876,0.05521,Pipistrellus,kuhlii,,63,#EE7733,#EE7733,bat,bat,lg,
HLmyoMyo6,8.43,0.041909,0.023635,Myotis,myotis,,49,#EE7733,#EE7733,bat,bat,lg,
HLmanPen2,9.6,0.0182978,0.009885,Manis,pentadactyla,,13,#FFCC00,black,not,not,sm,
HLmanJav2,9.6,0.0216402,0.01183,Manis,javanica,,15,#FFCC00,black,not,not,sm,
HLneoVis2,10.41,0.0172499,0.008104,Neovison,vison,,21,#44AA99,black,not,not,sm,
HLmusNiv1,4.8,0.0119575,0.005454,Mustela,nivalis,,15,#44AA99,black,not,not,sm,
HLmusErm1,4.8,0.0095291,0.004447,Mustela,erminea,,19,#44AA99,black,not,not,sm,
HLlutLut1,9.2,0.0200772,0.009502,Lutra,lutra,,26,#44AA99,black,not,not,sm,
HLpteBra1,9.2,0.0192425,0.009447,Pteronura,brasiliensis,,14,#44AA99,black,not,not,sm,
HLphoVit1,25.27,0.0223474,0.011761,Phoca,vitulina,,21,#44AA99,black,not,not,sm,
HLzalCal1,16.6,0.0132974,0.007095,Zalophus,californianus,,21,#44AA99,black,not,not,sm,
odoRosDiv1,16.6,0.0118176,0.006231,Odobenus,rosmarus,divergens,24,#44AA99,black,not,not,sm,
HLursArc1,39.28,0.0585897,0.0295,Ursus,arctos,horribilis,21,#44AA99,black,not,not,sm,
canFam4,9.33,0.0100136,0.005566,Canis,lupus,familiaris,19,#44AA99,black,not,not,sm,
HLotoMeg2,9.2,0.0125613,0.00706,Otocyon,megalotis,,43,#44AA99,black,not,not,sm,
HLvulLag2,8.05,0.0119812,0.006436,Vulpes,lagopus,,35,#44AA99,black,not,not,sm,
HLnycPro4,8.05,0.0115005,0.006155,Nyctereutes,procyonoides,,14,#44AA99,black,not,not,sm,
HLneoNeb1,11.7,0.0105559,0.005758,Neofelis,nebulosa,,10,#44AA99,black,not,not,sm,
HLaciJub2,7.84,0.0086559,0.004474,Acinonyx,jubatus,,18,#44AA99,black,not,not,sm,
felCat9,7.61,0.00796384,0.00408,Felis,catus,,17,#44AA99,black,not,not,sm,
HLlynCan1,7.61,0.00788549,0.004091,Lynx,canadensis,,41,#44AA99,black,not,not,sm,
HLcryFer2,28.1,0.0433898,0.022021,Cryptoprocta,ferox,,21,#44AA99,black,not,not,sm,
HLhyaHya1,5.47,0.00905404,0.004536,Hyaena,hyaena,,15,#44AA99,black,not,not,sm,
HLproCriCri1,5.47,0.0122452,0.00653,Proteles,cristata,cristata,25,#44AA99,black,not,not,sm,
HLtraJav1,38.8,0.117714,0.065861,Tragulus,javanicus,,32,#117733,black,not,not,sm,
HLoviOri1,4.91,0.0124395,0.005862,Ovis,orientalis,,14,#117733,black,not,not,sm,
HLcapHir2,4.91,0.0116944,0.005536,Capra,hircus,,11,#117733,black,not,not,sm,
HLbubBub2,6.09,0.0183928,0.008857,Bubalus,bubalis,,21,#117733,black,not,not,sm,
bosTau9,6.09,0.0186255,0.008979,Bos,taurus,,23,#117733,black,not,not,sm,
HLmosMos1,4.76,0.00518089,0.002683,Moschus,moschiferus,,8,#117733,black,not,not,sm,
HLmosBer2,4.76,0.00461889,0.002317,Moschus,berezovskii,,8,#117733,black,not,not,sm,
HLcerEla2,16.37,0.0170273,0.008219,Cervus,elaphus,,20,#117733,black,not,not,sm,
